"","folio","foliow1","fac_2l","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"245","00319000","00319000",520,"0","0","0","0","0","0","0","1","0","1","1","1","0","1"
"246","00320000","00320000",520,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"247","00321000","00321000",520,"0","0","0","1","1","0","0","0","0","0","1","1","0","2"
"248","00323000","00323000",520,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"249","00324000","00324000",520,"0","0","0","0","1","1","0","1","1","0","1","1","0","1"
"250","00325000","00325000",520,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"251","00326000","00326000",520,"1","0","0","1","1","1","0","1","1","1","1","1","0","3"
"252","00329000","00329000",520,"0","0","0","0","0","0","0","1","1","0","1","0","0","1"
"253","00332000","00332000",520,"0","0","0","0","0","0","0","1","1","0","1","1","0","1"
"254","00333000","00333000",520,"1","1","1","1","1","1","0","1","0","1","1","1","0","1"
"255","00334000","00334000",520,"1","0","0","1","1","0","0","1","1","0","1","0","1","3"
"256","00337000","00337000",520,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"257","00341000","00341000",520,"1","0","0","1","0","0","0","0","0","0","1","1","0","2"
"258","00343000","00343000",520,"1","0","0","0","0","0","0","0","0","0","1","1","0","2"
"259","00345000","00345000",520,"0","0","0","1","0","0","0","1","0","1","1","1","1","2"
"260","00346000","00346000",520,"0","0","1","1","0","0","0","1","0","1","1","1","0","2"
"261","00346005","00346000",520,"0","0","0","0","0","0","0","1","1","1","1","0","0","2"
"262","00347000","00347000",520,"1","0","0","0","0","0","0","0","0","0","1","1","0","2"
"263","00348000","00348000",520,"0","0","0","0","0","0","0","1","1","1","1","1","0","2"
"264","00349000","00349000",520,"0","0","0","1","1","1","0","0","0","0","0","0","0","1"
"265","00350000","00350000",520,"1","0","0","0","0","1","0","1","0","1","1","1","0","1"
"266","00351000","00351000",520,"1","0","1","1","0","1","0","1","0","1","1","1","0","1"
"267","00352000","00352000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"268","00354000","00354000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","2"
"269","00354003","00354000",10155,"0","1","0","0","1","1","0","1","1","1","1","1","1","2"
"270","00355000","00355000",10155,"0","0","0","0","1","0","0","0","0","0","1","1","0","2"
"271","00355003","00355000",10155,"0","0","0","0","0","1","0","0","0","0","1","1","0","1"
"272","00356000","00356000",10155,"1","0","0","0","0","0","0","0","0","0","1","1","0","1"
"273","00357000","00357000",10155,"1","0","0","0","0","0","0","0","0","0","1","1","0","2"
"274","00357003","00357000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
